,name,list_date,amount,avg_price,p_pc,wom_index
0,21克拉,2018-04-20,10688.0,31.0,7.0,4.6
1,一出好戏,2018-08-10,132009.0,35.0,28.0,7.56
2,侏罗纪世界2,2018-06-15,169379.0,35.0,16.0,7.2
3,公牛历险记,2018-01-19,13510.0,32.0,14.0,8.13
4,冰雪女王3：火与冰,2018-04-05,6390.0,31.0,9.0,6.04
5,动物世界,2018-06-29,50880.0,37.0,15.5,7.3149999999999995
6,勇敢者游戏：决战丛林,2018-01-12,47669.0,34.0,19.0,7.87
7,南极之恋,2018-02-01,23334.0,32.0,11.0,7.88
8,厉害了，我的国,2018-03-02,43971.0,32.0,28.0,0.0
9,厕所英雄,2018-06-08,9447.0,31.0,7.0,7.27
10,反贪风暴3,2018-09-14,40473.0,36.0,11.0,0.0
11,古墓丽影：源起之战,2018-03-16,48627.0,35.0,14.0,6.73
12,后来的我们,2018-04-28,135813.0,34.0,30.5,6.33
13,哆啦A梦：大雄的金银岛,2018-06-01,20919.0,30.0,10.0,6.43
14,唐人街探案2,2018-02-16,339240.0,37.5,35.5,7.525
15,嗝嗝老师,2018-10-12,12708.0,30.0,9.0,7.85
16,复仇者联盟3：无限战争,2018-05-11,238864.0,37.0,15.0,7.83
17,大闹西游,2018-09-22,3419.0,34.0,10.0,0.0
18,头号玩家,2018-03-30,139666.0,36.333333333333336,19.666666666666668,5.14
19,奇迹男孩,2018-01-19,13617.0,30.0,14.0,8.93
20,寂静之地,2018-05-18,19225.0,31.0,11.0,7.0
21,小萝莉的猴神大叔,2018-03-02,28329.0,31.0,17.0,7.56
22,巨齿鲨,2018-08-10,102581.0,38.0,24.0,6.86
23,巴霍巴利王2：终结,2018-05-04,7642.0,31.0,7.0,8.13
24,幕后玩家,2018-04-28,35861.0,35.5,17.0,6.725
25,幸福马上来,2018-06-08,7939.0,32.0,7.0,6.12
26,影,2018-09-30,55895.0,36.0,13.0,7.4
27,快把我哥带走,2018-08-17,37378.0,32.0,12.5,3.76
28,悲伤逆流成河,2018-09-21,27399.0,34.0,12.5,3.035
29,我不是药神,2018-07-05,303854.0,35.0,27.0,8.81
30,我是你妈,2018-05-11,3620.0,32.0,6.0,6.33
31,找到你,2018-10-05,26684.0,32.0,9.0,7.49
32,捉妖记2,2018-02-16,223647.0,37.5,32.5,6.765
33,摩天营救,2018-07-20,60627.0,35.0,18.0,6.95
34,新大头儿子和小头爸爸3：俄罗斯奇遇记,2018-07-06,15347.0,34.0,11.0,4.84
35,无双,2018-09-30,116870.0,36.0,15.0,7.84
36,无问西东,2018-01-12,75399.0,31.5,16.0,7.94
37,星球大战：最后的绝地武士,2018-01-05,26751.0,37.0,14.0,7.59
38,昨日青空,2018-10-26,6189.0,32.0,6.0,6.1
39,暴裂无声,2018-04-04,5377.0,32.0,6.0,7.33
40,李茶的姑妈,2018-09-30,49529.0,35.0,14.0,6.05
41,欧洲攻略,2018-08-17,15238.0,34.0,15.0,4.13
42,比得兔,2018-03-02,15789.0,30.0,15.0,7.66
43,江湖儿女,2018-09-21,5373.0,34.0,8.0,0.0
44,游侠索罗：星球大战外传,2018-05-25,8186.0,36.0,6.0,7.09
45,湮灭,2018-04-13,6513.0,32.0,6.0,7.65
46,潜艇总动员：海底两万里,2018-06-01,7236.0,31.0,9.0,5.64
47,熊出没·变形记,2018-02-16,54823.0,36.0,34.0,8.0
48,爱情公寓,2018-08-10,55460.0,35.0,28.0,2.89
49,狂暴巨兽,2018-04-13,99171.0,35.0,12.0,6.96
50,狄仁杰之四大天王,2018-07-27,60639.0,39.0,17.5,6.98
51,猛虫过江,2018-06-15,19067.0,32.0,12.0,4.39
52,环太平洋2：雷霆再起,2018-03-23,63313.0,35.0,11.5,6.87
53,碟中谍6：全面瓦解,2018-08-31,122146.0,36.5,23.5,4.105
54,祖宗十九代,2018-02-16,14573.0,35.0,26.0,7.05
55,神奇马戏团,2018-07-21,5108.0,34.0,8.0,6.54
56,神秘巨星,2018-01-19,74707.0,30.5,17.0,8.835
57,移动迷宫3：死亡解药,2018-01-26,31528.0,34.5,11.5,7.25
58,精灵旅社3：疯狂假期,2018-08-17,19543.0,34.0,14.0,7.16
59,红海行动,2018-02-16,359928.0,39.0,37.5,8.035
60,胖子行动队,2018-09-30,22816.0,34.0,11.0,5.53
61,蚁人2：黄蜂女现身,2018-08-24,82926.0,35.5,13.5,3.835
62,西游记女儿国,2018-02-16,70494.0,40.0,37.0,7.13
63,西虹市首富,2018-07-27,251995.0,35.0,34.0,6.75
64,起跑线,2018-04-04,20872.0,31.0,10.0,7.83
65,超人总动员2,2018-06-22,35314.0,34.5,12.0,8.01
66,超时空同居,2018-05-18,89855.0,33.0,12.0,6.89
67,邪不压正,2018-07-13,58018.0,36.0,16.0,7.36
68,铁血战士,2018-10-26,17204.0,35.0,8.0,5.79
69,镰仓物语,2018-09-14,4509.0,32.0,6.0,0.0
70,阿凡提之奇缘历险,2018-10-01,7601.0,35.0,12.0,6.06
71,阿尔法：狼伴归途,2018-09-07,11298.0,34.0,7.0,0.0
72,黄金兄弟,2018-09-21,23242.0,35.0,14.0,0.0
73,黑豹,2018-03-09,66086.0,36.0,17.0,6.98
